"","Gene","effect.size","p.value","q.value"
"ENSG00000115523.GNLY","ENSG00000188859.FAM78B",23.6842884565468,0,0
"ENSG00000105374.NKG7","ENSG00000227068.RP11.12A16.3",14.2297640038893,0,0
"ENSG00000090382.LYZ","ENSG00000224349.RP11.462G2.2",13.5090320053436,5.29571849691903e-69,2.49542843226441e-66
"ENSG00000101439.CST3","ENSG00000254089.RP11.388K12.2",10.9941333825942,7.31895562878309e-55,3.0382378901865e-52
"ENSG00000204287.HLA.DRA","ENSG00000187091.PLCD1",9.28518539122947,0,0
"ENSG00000143546.S100A8","ENSG00000224209.LINC00466",8.02896112563575,2.48727042725971e-63,1.11193743331469e-60
"ENSG00000163220.S100A9","ENSG00000203605.RP11.335E6.2",7.29778522503857,3.0419113875849e-70,1.47321458451508e-67
"ENSG00000254709.IGLL5","ENSG00000225140.RP11.809C18.3",7.28370451052596,1.077356388937e-70,5.36677389746191e-68
"ENSG00000253701.AL928768.3","ENSG00000132436.FIGNL1",5.63760581828075,8.10374143545794e-44,3.07149417233063e-41
"ENSG00000161570.CCL5","ENSG00000155495.MAGEC1",5.49320770841283,0,0
"ENSG00000107317.PTGDS","ENSG00000271752.RP11.269M20.3",5.45642787982307,1.37117513483695e-102,7.96881282529409e-100
"ENSG00000106066.CPVL","ENSG00000214324.C3orf56",5.3435528777428,1.48062277046801e-13,2.6613049487742e-11
"ENSG00000019582.CD74","ENSG00000267034.RP11.384O8.1",5.16608839404203,0,0
"ENSG00000196126.HLA.DRB1","ENSG00000060971.ACAA1",4.86734482919615,0,0
"ENSG00000100453.GZMB","ENSG00000239715.AC093627.11",4.64553138041291,0,0
"ENSG00000011600.TYROBP","ENSG00000214929.SPATA31D1",4.63531967185627,0,0
"ENSG00000223865.HLA.DPB1","ENSG00000168334.XIRP1",4.23104359124846,0,0
"ENSG00000231389.HLA.DPA1","ENSG00000144655.CSRNP1",3.86154751759698,0,0
"ENSG00000085265.FCN1","ENSG00000112936.C7",3.84042533072015,2.75842826232669e-27,7.75696721833321e-25
"ENSG00000105369.CD79A","ENSG00000095380.NANS",3.58773982753333,0,0
"ENSG00000145649.GZMA","ENSG00000128714.HOXD13",3.38483630721322,0,0
"ENSG00000158869.FCER1G","ENSG00000227290.RP4.544H6.2",3.26699605601101,0,0
"ENSG00000169583.CLIC3","ENSG00000251601.RP11.317O24.2",2.99805185704979,4.03528018045866e-263,4.39719437164355e-260
"ENSG00000137441.FGFBP2","ENSG00000163060.TEKT4",2.94332944979848,5.13488037890315e-216,4.47633197030882e-213
"ENSG00000198502.HLA.DRB5","ENSG00000008226.DLEC1",2.90374850245261,6.80168634385468e-251,6.58818896695036e-248
"ENSG00000077984.CST7","ENSG00000271971.CTD.2006H14.2",2.88122308156518,0,0
"ENSG00000196735.HLA.DQA1","ENSG00000172936.MYD88",2.61317157116697,4.22087526604642e-130,2.8304215485969e-127
"ENSG00000100079.LGALS2","ENSG00000148484.RSU1",2.55634169844889,6.9641334688779e-09,7.73373675349593e-07
