"","Gene","effect.size","p.value","q.value"
"CLPS","NEDD9",278.789380686853,1.16386553190435e-72,1.38499998296618e-70
"PPY","MIR4713",233.610521342561,0,0
"SST","MIR3938",217.655984081603,5.1678995529238e-295,9.78843241153375e-292
"REG1A","MSGN1",208.02961875451,0,0
"PRSS1","AKAP9",178.813840069846,2.29996028598903e-248,2.27286075392368e-245
"REG1B","NT5C1B",171.891128891247,5.7440653438925e-194,3.62657947781479e-191
"REG3A","RDH14",118.62361118405,2.60498182374085e-187,1.48021579679514e-184
"PNLIP","XAGE5",93.0968290598494,1.31798727871759e-181,6.9666355483656e-179
"CTRB2","CLEC14A",92.1489903593234,2.19217061634642e-180,1.13240558952131e-177
"INS","FLNA",87.8588478319044,0,0
"CELA3A","PLEKHM2",63.9432800162556,9.1568974355983e-96,1.72005885796458e-93
"CTRB1","SSTR1",59.9377008139127,2.4341080501999e-158,9.87943604874886e-156
"SPP1","KLB",56.8253260633491,1.83392628692007e-251,1.98491955120982e-248
"PLVAP","SHISA6",55.5242730611828,1.95312808292845e-17,5.73548426316289e-16
"CPA2","TPST1",54.7346697867015,2.16597927965565e-154,8.07058082742513e-152
"TPSB2","SUGT1",54.2951136254201,5.03988839124921e-10,9.32071792064307e-09
"TPSD1","VPS36",53.590109820002,4.02688289293692e-09,6.94965992965552e-08
"CPB1","SCAP",53.380395734348,2.3010043566657e-77,3.09464662855945e-75
"COL1A2","RPS6KA2.IT1",50.5208605006274,2.06394106748466e-68,2.25535175590668e-66
"TPSAB1","CKAP2",47.2387398943504,1.23056881379649e-09,2.21278469689718e-08
"GHRL","RARB",46.0680572737932,2.29668910751854e-09,4.04976312837772e-08
"BPIFA1","TEN1.CDK3",45.5608974137642,0.00104093028456071,0.00866323853452231
"OLFM4","CABP4",45.1656988445068,6.61134795146758e-90,1.13840399688566e-87
"CPA1","OR2B3",44.8353455252809,8.15148653465564e-119,2.31593921807735e-116
"SERPINA3","M6PR",44.4778149423763,0,0
"IAPP","LOC143666",44.2560193464705,1.17238680358094e-155,4.44119660976521e-153
"CTRC","CORT",42.5189853939976,7.09139031155075e-107,1.61180210391237e-104
"COL3A1","FAM95A",41.8299935171927,1.68954751375865e-77,2.2858169904893e-75
"SPARC","JAKMIP2",40.473327396489,3.42698293340034e-81,4.92986677805419e-79
"PRSS3P2","CYP51A1",39.4045961755562,6.51968023566503e-133,2.17920311877103e-130
"LCN2","RIPK2",38.4752747114855,0,0
"SPINK1","PSD2",37.1768064861489,5.44820857228004e-157,2.1724970638483e-154
"PNLIPRP1","FTX",36.3505157856669,9.54626939813102e-75,1.21216288910681e-72
"PNLIPRP2","TSPYL2",36.0052305593278,3.2114398757773e-96,6.18583194377476e-94
"DUOXA2","GNN",35.3560905819174,6.45328799122545e-61,6.13710388086039e-59
"COL1A1","ADPGK",35.3202382740952,8.88156325056801e-47,6.6844056662967e-45
"CCL20","CCDC74B",34.6274810839254,5.70060894818873e-10,1.04999303714248e-08
"CRP","SPRR3",34.4647011271062,1.14476410415106e-106,2.57617260626233e-104
"GCG","RTKN",34.181346447123,3.63846785591758e-58,3.32123437337955e-56
"SFRP2","ADAD1",33.6451317955072,2.5345246122643e-50,2.02842288423082e-48
"BGN","KLF4",32.9878551352845,4.51111458056281e-44,3.12600985675647e-42
"C1QA","CLCNKB",32.7981421131954,1.77692524457462e-05,0.000203567207076293
"GP2","RDH11",29.8595788997365,7.44514618536678e-24,2.87301744732091e-22
"REG3G","SMC6",29.1486514090503,6.20681591739767e-33,3.31940515262427e-31
"CFB","HEIH",29.1155499337502,7.8299060109316e-174,3.78650922813754e-171
"RBP4","LINC01282",27.9711534224921,5.04255775418488e-219,4.09329625695957e-216
"KRT7","OR52N4",27.8439223311043,1.19764113270621e-259,1.51228807251552e-256
"KRT17","LOC101928363",27.4909006859608,1.28197472706031e-10,2.49469208658851e-09
"POSTN","BANF1",27.1854855256407,1.91789896125568e-09,3.40296061595476e-08
"CELA3B","SLC25A34",27.0660100474808,2.1682238023205e-43,1.47549577254319e-41
"DLK1","KLRC4.KLRK1",27.0583805125889,6.43936585314657e-111,1.66318575541101e-108
"MT1G","OR4N5",26.6847972930309,1.2747132462511e-83,1.90611561671325e-81
"MMP1","SRGN",26.5881785126182,1.55598992946451e-18,4.7792020414593e-17
"LUM","RAPSN",26.1746191018596,2.80014538754745e-41,1.81841441467331e-39
"TACSTD2","SNORD55",25.853133952197,0,0
"MMP7","DDX50",25.7594294234083,8.40530695396629e-134,2.85140629487612e-131
"CCL2","SNORD115.38",25.2898728868494,6.15370653725994e-76,7.94702249348757e-74
"C1QB","ZBTB17",25.2689029780552,3.48840426431389e-06,4.42702068808434e-05
"C1QC","FLJ37453",25.1130810158256,4.87246926546971e-06,6.05502208501154e-05
"COL6A3","KIAA1211L",25.0118694351608,1.04152226343352e-49,8.30623141248437e-48
"ALB","MARCH1",24.89653836609,1.16811867223733e-65,1.24066211688235e-63
"CELA2A","APITD1.CORT",24.4579154098847,9.20212156368586e-74,1.11252670755859e-71
"CEACAM7","MIR324",24.0361484094177,5.3111333057086e-83,7.83874992892538e-81
"LAPTM5","MIR6731",23.7744498769929,2.24860884545311e-16,6.30970746275356e-15
"PRSS3","ZFAT",23.6564021605899,5.3108435502931e-105,1.12813236499637e-102
"MMP2","LOC100508046",23.2930498639355,4.26783010672546e-33,2.28781864376799e-31
"PIGR","FMO1",22.7075779849595,6.63661391421152e-33,3.54092952244398e-31
"SERPINE1","KMT2C",21.4520749460585,1.67080806909388e-17,4.93192163667986e-16
"SERPINB2","ANKS3",21.2201860245026,1.77352111922139e-16,4.99508816837461e-15
"TCN1","H2AFY2",21.1922929083825,6.25523571982423e-14,1.55217105981436e-12
"GDF15","SUZ12",20.7682791583008,3.13552599667755e-178,1.58371934174409e-175
"LYZ","MIR129.2",20.7534767238718,6.38375193754568e-82,9.24180240690928e-80
"C3","POLR3E",20.6772985753828,3.76025246460982e-118,1.05514541071749e-115
"TESPA1","LYVE1",20.6272969938423,1.05236848899134e-05,0.000124403565978753
"DCN","MYBPC3",20.6147165062996,3.70242548740058e-25,1.51625998023654e-23
"PDGFRB","PCDHA5",20.5734225165956,1.23705639161524e-43,8.49457846677426e-42
"CFTR","LOC285847",19.5905115155106,3.09623003576146e-288,5.02672946305873e-285
"PENK","ATP5J2.PTCD1",19.5715733392331,1.43749512055183e-05,0.000166698094872564
"RNASE1","CLEC1A",19.5608429103525,3.50727532932535e-89,5.8187489751997e-87
"HPGDS","NSUN7",19.2847746881162,7.31585655961752e-09,1.24183796671805e-07
"NPY","KHDC3L",19.1447932752745,6.22586638479384e-37,3.69471846109606e-35
