"","Gene","effect.size","p.value","q.value"
"PPY","VIT",34340.3556429557,0,0
"SST","CXCL11",8613.56016243343,0,0
"INS","HTN1",6182.7768900016,0,0
"GCG","FTH1P3",2115.47554226999,3.67033191344326e-69,5.43015096832945e-67
"IAPP","MR1",904.984340491242,0,0
"NPY","MTNR1B",371.79406261009,3.29491065436313e-142,2.91200735305609e-139
"MSMB","LY9",209.051749681126,0.000789984555711145,0.00790785136184891
"RBP4","MAPK11",183.223681618787,7.8241862231434e-220,1.75178313412032e-216
"TPSB2","ITFG2",125.795638988382,1.30290006758162e-08,2.11691320124146e-07
"SPINK1","SERPINB4",125.567387021907,2.67309372437734e-25,1.00081582652719e-23
"SNAR.B2","HSPB1P2",116.657745133016,3.8498700926535e-52,3.48501447955998e-50
"SNAR.B1","GSTTP2",104.717041102522,4.11579999336704e-52,3.7157265316462e-50
"TYROBP","TAF4",93.7885389673068,0.000313987543211504,0.00332648506347481
"CPA3","COL4A1",80.3190276774617,6.40939686230829e-06,8.29492039397925e-05
"TM4SF4","SPP1",80.191748542044,0,0
"SPP1","SCN2A",67.5429012258715,2.84215268672679e-59,3.18169519436775e-57
"TPSAB1","STAC",61.8520293285534,3.46010519558896e-07,5.04796580750042e-06
"RGS1","PRSS3",61.4155426781614,1.18131458073429e-15,2.97178044040304e-14
"DLK1","PNPLA4",51.802492314346,1.55004767748282e-197,2.73983164213595e-194
"MT2A","SMAD2",49.1715134919331,6.95857971387422e-76,1.27009207125409e-73
"C6orf58","ZNF503.AS1",49.0787792943445,1.12732942130457e-08,1.83876791088357e-07
"FCER1G","ERG",48.6269869213329,8.2789367597352e-08,1.26324312648318e-06
"DEFB4A","CYP4A11",46.8145017175527,0.000667051350028354,0.00675784390327367
"CD69","CD19",44.9596027397051,1.23670525761616e-05,0.000155323520462907
"PENK","NONO",39.6845798237782,5.28572417977418e-07,7.60564528078561e-06
"MT1X","SMAD1",36.4358697942302,2.96074889024633e-192,4.51971776045603e-189
"LOC390806","LOC285629",35.2158693173687,3.2473638885017e-06,4.32261073450024e-05
"CYCSP28","SYT14",33.0214333855491,3.8474424934685e-05,0.000455133880594033
"LOC100422687","ARHGAP42P2",31.3298377191263,1.26649795831175e-10,2.34605997969894e-09
"SRGN","PGC",29.8612237567056,2.67931372827303e-07,3.93278287807348e-06
"CXCL1","GNAQP1",28.2838294051152,5.59177322679e-12,1.13333803288181e-10
"RPL29P27","TMEM200C",27.8529880462522,1.35803888797562e-05,0.00016980036490608
"RGS2","MASP1",27.8137586930115,2.16344982261322e-66,2.99001229805112e-64
"TAC1","ST6GAL1",27.5358919678892,4.68473803572392e-06,6.13859704220648e-05
"CST2","CREM",27.3110910749539,0.000233007437633787,0.00250170133807325
"LOC100884169","RPL7AP49",25.7946834089408,1.17686081502404e-07,1.77794393215328e-06
"SERPINA1","ROR1",25.5375442559717,9.01001387981872e-277,2.32763312415255e-273
"CCL20","REV3L",24.7885797344569,0.000186716120025003,0.0020339520515471
"LOC100419583","LOC100128048",24.2624741594375,7.92610015064096e-50,6.84293438198268e-48
"LOC100128906","MKI67IPP8",24.0627331399213,2.59243328141588e-293,8.70642793230709e-290
"MT1G","MAB21L1",23.6430975044105,7.24817747057401e-05,0.00083164602723525
"RBBP6P1","LOC643308",23.5831726608227,1.14329726613836e-15,2.87829800494682e-14
"SUCNR1","UGT2B29P",23.544608514844,1.33800735687979e-06,1.84540612211298e-05
"OR1F12","SLC26A5",23.3087938882826,0.000502091325527084,0.00516929340174788
"RN7SK","RTN4IP1",23.1300278797459,0.00014005923625518,0.00154745922796921
"OR51N1P","PCGF5",22.800847244512,1.91978467682666e-05,0.00023599578545588
"HCG4P11","ANKRD18A",22.4320919723255,4.54588578746531e-05,0.000533248439700436
"HADH","GPX3",22.18203583345,0,0
"IL13RA2","HSPA2",21.5652143370082,0.000386621512510538,0.00405126267586706
"HMGB1P47","RPL17P11",21.4239841560133,1.04901755873068e-24,3.87145117499024e-23
"SHISA2","LOC283332",21.3974938665224,1.65651448217345e-15,4.13009520187922e-14
"RPL21P89","LOC728533",20.6949845701305,1.93754209031847e-09,3.3250083577545e-08
"RGS10","PRSS8",20.298826971741,0.000668635360929096,0.00677184860115886
"LAPTM5","TRNAN1",20.2095730864696,0.000461916285621047,0.00478353269697726
"GC","FTH1P1",19.5423606614113,0,0
"MIR4712","TRNAV22",19.4340740969036,3.63442687811678e-05,0.000431302446200261
"CARTPT","RPL14",19.054834053716,6.02774666513373e-10,1.07222375000981e-08
"CXCL6","RFC5",19.011227421419,2.90390671564124e-10,5.27731618712638e-09
"FXYD2","ATIC",18.0479759962234,1.45488056161989e-262,3.49005062724588e-259
"VN1R12P","FLJ37201",17.8378753975765,1.33299808872592e-11,2.63958772475067e-10
"LOC101927361","RPL30P16",17.8046714878085,2.43783858403058e-08,3.89127238622068e-07
