"","x"
"GNLY",82187.8375655102
"CD74",70465.806648685
"NKG7",51328.5745764354
"MALAT1",50523.47074098
"HLA.DRA",38379.151933056
"HLA.DRB1",25874.5476289814
"LTB",22850.0552115428
"IL32",22696.2520818317
"HLA.DPB1",22016.4307867452
"CCL5",21983.5983790817
"S100A4",20454.3035012473
"ACTB",19606.3039777391
"JUNB",19204.4406155449
"RPS2",19162.2713704107
"B2M",18690.8262698518
"HLA.DPA1",18666.675713311
"RPL13",18174.7144030232
"TYROBP",17277.5230205975
"RPL34",16819.6987749784
"IGLL5",15963.5678384675
"RPS6",15795.603575147
"GZMB",14866.5347160274
"CD79A",14838.8244929382
"FTL",14728.5999677753
"RPL3",14610.3026879723
"RPL7",14420.836578205
"TMSB4X",13827.7385176292
"RPL10",13775.1022310127
"IER2",13749.020935141
"HLA.DRB5",13696.7924435955
"MT.CO2",13605.3014834149
"RPS4X",13575.3641254345
"GZMA",13381.6892244075
"RPS12",13274.5796955763
"PFN1",12999.9831706549
"RPS27",12983.8781013989
"RPL18A",12872.1456147229
"RPL13A",12791.2436445809
"RPS18",12781.011543616
"TMSB10",12752.5676705979
"RPLP1",12574.1268506652
"RPL32",12559.7424195805
"RPS3A",12548.1696743383
"FCER1G",12490.008429552
"ACTG1",12356.1504152831
"CD52",12337.9020313495
"HCST",12166.7646467669
"CD79B",12153.9111956795
"CYBA",11785.0450993844
"MT.CO1",11782.1399336456
"RPS19",11779.8281976681
"CD37",11776.2418370663
"IFITM2",11646.8995744116
"CST7",11598.2458349157
"RPS14",11313.6355100633
"RPLP2",11306.6593956312
"RPS5",11277.3338958734
"DUSP1",11270.5399662686
"JUN",11264.5055537554
"FTH1",11232.284469048
"HLA.A",11051.5141789545
"RPL11",11021.966051949
"RPS3",10995.0469508588
"RPL21",10989.179638642
"CD7",10951.1146827732
"LDHB",10929.7027345928
"CD3D",10880.7407959953
"H3F3B",10791.4877009314
"EEF1A1",10764.8759534052
"RPL4",10760.2208935195
"SH3BGRL3",10718.0000286855
"VIM",10714.4698337579
"RPL8",10676.3525996124
"GAPDH",10618.4521846448
"CD3E",10465.0972342539
"CTSW",10437.2900411496
"MT.CYB",10436.3979780723
"RPS27A",10333.7831176813
"S100A6",10289.7281422679
"RPL31",10233.0013548908
"FOS",10210.0099580731
"CLIC3",10191.7487197997
"MT.ND2",10189.1128857312
"LGALS1",10146.9314123658
"RPLP0",10096.8227018271
"NOSIP",10071.6478235866
"BTG1",10066.0851564321
"RPS8",9979.08690735884
"MT.ATP6",9961.56437299853
"RPL10A",9805.19925050309
"KLRB1",9763.98031185049
"RPL19",9744.18947770295
"RPL12",9705.64259251172
"RPL18",9685.13632814621
"RPL37A",9676.51994515856
"HLA.B",9669.18799376721
"RPS23",9624.49909682642
"RPS9",9591.73544785706
"RPSA",9573.77987243538
"RPL37",9569.49748535099
"RPS15A",9564.96250032343
"RPL5",9556.4329943253
"GIMAP7",9505.41598380487
"MT.CO3",9471.20755887136
"TMEM66",9403.39900102369
"HLA.DQA1",9394.16306335132
"CST3",9349.97201827264
"RPS24",9304.64472569135
"RPL9",9234.73777844687
"NFKBIA",9199.23113306978
"S100A10",9173.96048550388
"RPS25",9141.32718552963
"GNB2L1",9113.72215068649
"PABPC1",9061.51836947058
"MT.ND4",9054.24521289166
"RPS28",9032.12786568195
"RPS13",9021.59558508673
"HLA.C",9015.0374018994
"RPL36",8983.14976480551
"RPS11",8945.0029852856
"CALM1",8898.47148012239
"RPS21",8886.02607868717
"MYL6",8869.49625559314
"RPL6",8847.70631554921
"FXYD5",8843.67650047923
"TSC22D3",8837.85959642043
"TPT1",8825.91540863272
"RPL23A",8772.20123966807
"DDX5",8743.46177365011
"EEF2",8737.03824259041
"PTPRCAP",8705.03057423694
"RPS16",8667.05075979861
"RPS29",8646.07158001905
"UBC",8644.84670944978
"RPL28",8611.57065682113
"RPS15",8607.9830405761
"EEF1B2",8584.02841171192
"MYL12A",8561.77813004545
"FGFBP2",8539.90399007466
"CFL1",8539.11384278076
"RPL29",8534.82307230739
"RPL36A",8495.85545071392
"EEF1D",8489.47063037846
"RPL35A",8459.7517734468
"CORO1A",8440.6817074061
"RPS20",8433.28625529388
"RPL27A",8419.81152867479
"RPL38",8413.39942774476
"CLIC1",8411.98472553099
"TXNIP",8409.16817067792
"RPL15",8396.3736900182
"HOPX",8396.29695800885
"SERF2",8387.8311571037
"MT.ND1",8385.15256954587
"GLTSCR2",8363.31494844978
"ATP5E",8350.47501948405
"ARPC1B",8345.41966390917
"RPL14",8335.91442598694
"ARHGDIB",8329.06441298599
"AES",8289.77785224949
"SLC25A6",8284.29084109128
"HLA.E",8262.12034052267
"RPL27",8244.47199574864
"EIF1",8221.20701478096
"ZFP36",8214.92771004855
"NPM1",8205.79798985901
"LIMD2",8192.95978815485
"RPL30",8170.67869027954
"PLAC8",8140.87279883542
"RPL35",8132.37105986121
"RPL26",8121.28750126914
"EMP3",8094.55758619508
"RPL41",8055.45231064275
"OAZ1",8026.14498821847
"TAGLN2",8024.42458082466
"UBB",8018.27876377202
"HNRNPA1",7979.37788808983
"HSPA8",7972.01821321243
"ARPC2",7962.98990896837
"RPL23",7954.41365344467
"CD27",7928.46107244207
"RPL36AL",7912.86223871724
"SRGN",7902.75758566026
"RPL7A",7898.4202425566
"RAC2",7884.806783123
"COTL1",7853.6896668825
