"","x"
"GCG",37123751126.6038
"INS",23480571738.2869
"PPY",15265872585.2377
"SST",14512977835.9601
"TTR",4646527228.71327
"IAPP",1530073841.6357
"FTL",825184092.244184
"MALAT1",517248742.901268
"B2M",274466219.913546
"REG1A",223339808.966634
"MTRNR2L8",143196645.53371
"SPINK1",141898661.882217
"CHGB",138311467.395594
"RPL3",130210369.117998
"NPY",118724224.452921
"FTH1",101933168.584548
"RBP4",101170790.812618
"GNAS",100162534.048545
"REG3A",95740080.2769729
"REG1B",80175760.6688505
"PRSS1",76422379.6498094
"SCG5",76121696.5775776
"RPS18",68306640.6814939
"RPL41",67581861.3561304
"RPL23",67172546.4793701
"PPP1CB",66587421.150264
"RPL5",64998341.8329141
"SPP1",63895512.4121479
"MT1X",63028554.3853656
"EEF1A1",60952451.6092277
"CPE",59830596.7403212
"RPS27",56838918.7469854
"TM4SF4",55031393.2656136
"SCGN",54018293.6528501
"RPS11",52583986.1238645
"RPS25",51991711.7059667
"MTRNR2L1",49012976.8170673
"RPLP1",46170148.7828146
"ACTG1",46132803.3111824
"GAPDH",45987133.6799492
"ALDH1A1",45319011.4526044
"ACTB",44419458.1037055
"CLU",39545721.7071763
"EGR1",39066352.0463578
"CALM2",38675404.412336
"MT2A",38482337.3210956
"HSP90AB1",38386140.3731654
"SCG2",38365114.2483918
"SAT1",37146486.9456136
"HSPA8",36969746.738474
"SSR4",35542467.1556944
"FXYD2",35111650.5642058
"RPL30",35076774.2159126
"CTRB2",34995520.8203544
"G6PC2",34978933.9162443
"UBB",33880474.0948194
"RPL7",33748849.5406196
"MTRNR2L2",32149016.0551421
"SERPINA1",32045710.9221464
"GPX3",31725730.2371954
"RPS6",30836411.5897243
"S100A6",30244600.224949
"TMSB4X",30201105.954009
"HNRNPH1",29934960.1524986
"EIF4A2",29589125.5716855
"HIST1H4C",29572387.177439
"RPL37A",29076129.31471
"RPS13",28949194.1746575
"CLPS",28931919.7027456
"FOS",28776529.8401843
"ATP5E",28633203.670084
"COX7C",28588578.1650772
"OLFM4",28380251.0720308
"CHGA",28319469.1142829
"UBC",27881793.1879486
"EIF1",27524758.1200538
"NDUFA1",27363699.2580505
"PSMB4",27008746.6836178
"GABARAP",26556332.8901765
"RPS4X",26106969.9941287
"HSP90AA1",26026985.5951632
"SERPINA3",25728914.7993654
"PFDN5",25567677.3207388
"RPLP0",25336689.5488134
"MYL6",25319495.3053921
"PSAP",25163424.3749455
"RPL8",24958894.0174797
"SRSF6",24911512.3818815
"COL1A1",23809333.4756999
"SCGB2A1",23725192.5749959
"BEX1",23516665.166551
"TOB1",22693399.3193637
"GNB2L1",22648611.1940477
"PNLIP",22117051.676987
"COX6A1",21709746.6342615
"RPL13A",21423402.7130764
"RPL11",21417844.131815
"RPS12",21274749.2494641
"RGS2",21047483.5939542
"H3F3B",20974863.1748333
"SEC11C",20627605.0882978
"LYZ",20313518.0849705
"CPB1",20113422
"TUBA1A",20095951.3038358
"RPL7A",20037198.131713
"DLK1",20018140.2430049
"RPL19",19921355.1858303
"RIN2",19913208.5484023
"TUBA1B",19681433.6572614
"RPL23A",19329300.3789538
"CYSTM1",19121663.25387
"ID2",19108394.9962839
"TPT1",18893169.8757927
"HINT1",18659945.4760326
"RPL38",18553862.5916015
"COX4I1",18522676.4272556
"RPL24",18206991.8694716
"PFKFB2",18185111.849862
"ATP6V0E1",18109645.2839735
"ENO1",17960513.7593004
"RPL27",17923352.5592616
"RPL36",17799646.9070833
"RPS5",17786403.07188
"YWHAE",17686302.1330377
"TIMP1",17632787.8874579
"TPI1",17566653.9657866
"SRP9",17482345.7035387
"CDKN1C",17457404.0158647
"MORF4L1",17242598.5278634
"SRP14",17206505.8314201
"C10orf10",17204530.9700816
"RPS8",17060108.3378313
"CAPZA1",16888130.2865542
"SOD1",16705307.8880583
"RPL12",16649354.0344777
"PCSK1N",16369284.3925299
"ATP5B",16357042.358726
"TSPYL1",16264112.7251513
"TMEM59",16146627.5709957
"LCN2",15943623.7303053
"PTEN",15939856.6911842
"EEF1G",15644082.5529548
"RNASEK",15602056.1732402
"PCSK2",15413567.8874362
"TMBIM6",15276051.8781106
"MT1G",15253633.1056764
"RPL36AL",15227620.1469558
"PRDX3",15206117.3603868
"SPINT2",15181532.0169361
"RPL9",15178937.8696759
"RPL4",15153011.181554
"CD63",15068214.3600231
"PTMA",15006878.4780738
"RPL18A",14988506.1019514
"HADH",14930639.4242056
"CSNK1A1",14923707.7735327
"SLC30A8",14918029.3949772
"COX7B",14836315.8676507
"CTSD",14718032.1998197
"PSMB1",14677335.2689183
"CPA1",14516322.4716701
"DDIT3",14509735.925358
"RPL34",14424460.4006118
"COX7A2",14408927.0363442
"ALDOA",14395314.3076006
"PDK4",14344323.9016139
"RPL35A",14326797.7602732
"ANXA5",14289477.389991
"RPS28",14285905.8339821
"PSMB5",14229842.8677184
"RPS27A",14038006.6750938
"RPS19",13971153.5401909
"RPS3",13894467.9965159
"DDX5",13827713.6966971
"TMED4",13797912.7723485
"DAD1",13760183.7220741
"PRDX2",13699469.1823505
"ITM2B",13639089.0971603
"NAA20",13561766.8995069
"RPL21",13473736.6623781
