"","x"
"GCG",173789201.329827
"SST",115989551.532177
"PPY",98874591.7928801
"INS",72478600.217152
"TTR",51894445.1531369
"REG1A",50787239.9537623
"PRSS1",25462477.8989855
"REG3A",18877561.3251923
"MALAT1",15731238.1368104
"REG1B",15236875.6676776
"CLPS",13964369.2691142
"CHGB",13352772.0836329
"SPP1",12783339.5923513
"IAPP",7093872.37098043
"SPINK1",6989931.4748686
"CTRB2",5933804.45431512
"OLFM4",5750811.79603369
"RBP4",5671884.15833396
"SERPINA3",5534998.55845293
"PNLIP",5264648.75807461
"SERPINA1",4998110.96928048
"LCN2",4903805.04268154
"FTL",4584685.42360523
"TM4SF4",4155843.10851809
"CPB1",3833396.15797366
"B2M",3791483.24462287
"CLU",3350369.78341976
"COL1A1",3271066.37221219
"SCG5",3135232.26479055
"ERCC_30000.mix1_7500.mix2",3100722.82510802
"CFB",3066357.7554926
"CTRB1",3043423.99934733
"CELA3A",2898225.91974401
"PRSS3",2882053.47766456
"CHGA",2870406.17405304
"CPA2",2844956.2073071
"C10orf10",2640012.23582946
"ERCC_15000.mix1_22500.mix2",2565292.14504059
"CPA1",2510709.51993953
"ACTB",2454024.48602357
"TIMP1",2442039.43090361
"SAT1",2411681.33385704
"CTSD",2383146.10014689
"GDF15",2374203.08719725
"PCSK1N",2346553.77272309
"MMP7",2284725.72529675
"SCG2",2258939.98313984
"CRP",2249554.44445864
"GNAS",2224342.6065628
"ERCC_15000.mix1_15000.mix2",2172182.91247433
"KRT7",2145416.00388921
"FTH1",2145331.18598404
"CRYBA2",2131666.39315907
"PRSS3P2",2106330.40341943
"KRT19",2095861.89708808
"GPX3",2066431.47340127
"TACSTD2",2031211.43609419
"ERCC_15000.mix1_30000.mix2",2003491.43943455
"ACTG1",1969510.20967642
"PCSK2",1960364.72063645
"G6PC2",1930965.37379487
"CD74",1904273.93629926
"ANXA4",1894266.13356689
"ALDH1A1",1893052.04917296
"COL1A2",1858323.29613334
"PIGR",1846484.59660755
"CTRC",1817965.99684467
"MT1G",1797503.4171014
"PDK4",1758973.83151133
"SPARC",1707524.03618045
"CPE",1694643.6809934
"GHRL",1625797.34142565
"C3",1593912.89301385
"CCL2",1577303.4489417
"GC",1564180.15664598
"LOXL4",1563774.36532726
"DUOXA2",1550456.13954842
"TMSB10",1519374.62070459
"CD44",1503698.06166997
"LYZ",1491293.79504817
"CD24",1418887.7074597
"KRT8",1413527.47335029
"THBS1",1349180.34270335
"PTPRN",1315848.42250025
"S100A6",1306673.99655289
"PNLIPRP1",1305519.08303739
"PNLIPRP2",1253164.76041258
"SERPING1",1252143.28265531
"PLVAP",1212122.60254108
"HSPB1",1204914.43970719
"COL3A1",1203274.14016964
