"","x"
"GCG",43355300706.3258
"INS",18919752261.1331
"PPY",13854903264.5127
"SST",13465138676.0215
"TTR",4953416252.84132
"COX1",2635558365.45383
"COX2",2105846115.4376
"RNR2",1506279257.81745
"IAPP",1312565771.42193
"COX3",1238335939.23439
"CYTB",1037112158.31379
"ATP6",984111714.393529
"ND4",891766286.01989
"FTL",741671872.308881
"ND2",364453908.695102
"RNR1",294326613.012245
"MALAT1",293190030.411275
"ND1",277958028.301558
"ND4L",264467251.349483
"B2M",238774046.980002
"ATP8",237920617.492756
"TRNS1",224772657.097115
"ND6",133077920.290337
"TRNP",131617431.90396
"SPINK1",117935863.93613
"NPY",106915442.442405
"RPL3",99310030.9477669
"CHGB",85177084.4805691
"RBP4",79445658.1203263
"ND5",74380526.6438315
"FTH1",70410477.3862905
"TRNV",68281272.8267367
"MTND1P23",64102702.4616064
"ND3",60239733.032518
"MT1X",56890354.0006886
"RPS18",53900281.9945025
"RPL23",52081554.4669757
"PPP1CB",51669985.9078244
"RPL41",51274514.8896211
"SCG5",50419214.3556805
"TM4SF4",49768248.4331625
"RPL5",49211885.4818557
"RPS27",45936206.6568582
"CPE",45565733.2048972
"SCGN",41888062.4218613
"RPS11",41020084.248752
"ALDH1A1",40209531.7289774
"RPS25",40096788.5165534
"GAPDH",36567651.4350666
"RPLP1",35799438.2576184
"MT2A",35263280.0064598
"EEF1A1",34423013.8068125
"SPP1",34203868.907723
"ACTG1",33547299.717574
"EGR1",32815659.338843
"FXYD2",30253035.6459993
"ACTB",29646508.7175364
"HSPA8",29231649.0760927
"HSP90AB1",28444918.3888335
"CALM2",28233387.3986027
"SAT1",27991407.1230749
"RPL7",27428627.4626167
"SCG2",27372749.240427
"RPL30",27245959.4231912
"SSR4",26888369.7278366
"GPX3",26876626.7113092
"G6PC2",26251470.1258087
"UBB",26224567.7706596
"S100A6",25334798.8078304
"BCYRN1P1",24980113.2363291
"FOS",24905410.4290538
"HNRNPH1",24337711.7153846
"HIST1H4C",24284512.8450319
"EIF4A2",23469213.2351753
"NDUFA1",23053838.0585404
"COX7C",22950226.3870724
"UBC",22892116.3785943
"PSMB4",22887812.5439651
"RPS13",22759742.0239592
"TMSB4X",22632305.2114894
"ATP5E",22481428.7977687
"RPL37A",22284410.7265931
"RPS6",21814341.8302418
"RPS28P7",21518183.9536549
"EIF1",21339035.4292663
"SCGB2A1",21237927.58132
"GABARAP",20917199.8095691
"RPS4X",20447559.7419444
"TRNQ",20440921.7077911
"RPLP0",20306802.8811927
"PFDN5",20108479.6086348
"SRSF6",20086647.2203663
"CLU",19960323.2350607
"TRNL1",19873062.3143014
"SERPINA1",19683254.5287379
"HSP90AA1",19201960.2795813
"BEX1",19059085.7308815
"RGS2",19044955.7033321
"RPL8",18855954.278479
"TOB1",18803371.6792467
"RPL21P16",18406706.2849457
"TRNN",17941984.8895243
"MYL6",17756692.072977
"TRNY",17613386.4019062
"COX6A1",17374351.8367431
"GNB2L1",17303192.35042
"CYSTM1",17087483.3158537
"ID2",16882862.876684
"H3F3B",16617524.3127611
"RPL11",16570553.7072782
"RPL13A",16426250.5019841
"TUBA1B",16398750.7830143
"DLK1",16379870.8281072
"RIN2",16340535.6514212
"TUBA1A",16250960.1572668
"MIF",16134323.4353178
"SEC11C",16076024.3858961
"RN7SK",15562918.2543856
"RPS12",15357424.5203083
"RPL19",15313557.2886695
"CDKN1C",15156897.8851104
"RPL7A",14995041.5493642
"PFKFB2",14862393.2541799
"TPI1",14800972.5869174
"RPL24",14772786.4929177
"RPL23A",14766586.300956
"HINT1",14669732.9378643
"RPL38",14567150.4722742
"SRP9",14523623.5278132
"COX4I1",14436954.2289967
"RPS5",14398953.9927238
"ATP6V0E1",14389450.1715697
"MORF4L1",14116651.0996116
"RPL27",14112286.2083298
"LYZ",14100860.5809151
"CAPZA1",14078548.8967218
"RPL36",13473827.2582979
"SOD1",13245910.5405838
"YWHAE",13145256.6033829
"SRP14",13090353.981084
"RPS8",13060852.8935176
"DDIT3",12928869.5139088
"EEF1G",12909547.749749
"RNASEK",12906089.0905293
"RPL12",12815567.8361979
"SNAR.B2",12712006.9306855
"TSPYL1",12538224.9710378
"PTEN",12508329.3525512
"COX7B",12507334.5324866
"SNAR.B1",12455195.3145216
"MTND2P28",12452895.6010193
"RPL36AL",12401470.311463
"FABP5",12344976.5352314
"RPL9",12212117.7838781
"RPL18A",12129208.3656708
"MT1G",12062918.7974823
"PRDX3",11980772.7203181
"PSMB1",11973593.1821254
"RPL21",11901319.3596158
"NAA20",11836746.0943677
"CSNK1A1",11715834.4575233
"HADH",11694913.3695038
"TRNA",11662857.5388575
"RPS28",11616128.911374
"PSMB5",11615691.4371977
"ATP5B",11570335.2160041
"ENO1",11563471.6221325
"EEF1A1P5",11561463.4384396
"COX7A2",11181680.8043312
"RPL4",11179609.8031709
"TRNE",11083925.6218597
"TMED4",11055473.3948369
"DAD1",11035347.9449747
"TMEM59",10979869.8094468
"LOC100128906",10960334.9136287
"PTMA",10890539.6599436
"ANXA5",10845210.8787914
"RPL35A",10826034.6326872
"DYNLT1",10760373.6196409
"RPS19",10727175.0827538
"NDUFV2",10695988.6548907
"PRDX2",10662675.2424351
"TPT1",10658875.9106921
"TMEM258",10657901.9324981
"RPL39",10568094.6310843
"NEDD8",10547612.9859768
"GABARAPL2",10361776.8151506
"PDK4",10268189.7495212
"COA3",10249208.1967925
"PPIB",10223683.5189236
"RPL34",10018209.3607668
"PFN2",10003931.976315
"NDUFB8",9973273.3232152
"UCHL1",9947849.53981576
"ARRDC3",9936813.02096841
"SUMO2",9904301.5596001
"NPM1",9901868.31477773
"DPYSL2",9853155.6840633
"NDUFS5",9815206.80701903
"RPS3",9780976.89794426
"COX17",9757587.50080994
"QPCT",9697073.49258333
"SNRPG",9686332.64196642
"RPL35",9661944.59671599
"RPS27A",9642524.50343397
"SLC25A5",9528730.44352515
"RPL14",9322250.11627904
"PSMB6",9293985.44444363
"ANP32E",9186118.01801123
"TRNC",9109175.79945467
"SAR1A",9098757.27453934
"C10orf10",9088619.06355663
"H2AFZ",8954443.58844507
"ATP6V1G1",8756403.70856805
"ATP5C1",8737201.27522486
"NDUFA12",8737087.63195686
"PSMB3",8678253.84374182
"CD63",8545067.46106118
"SLMO2",8488792.33505683
"DDX5",8467022.8302837
"SET",8461955.29570781
"SLC30A8",8361872.99424948
"PEBP1",8313320.35396703
"MYL12B",8286594.49549818
"COX8A",8183507.42379791
"PCP4",8181446.79531914
"COX5B",8164878.10974345
"SNURF",8141561.66938138
"ATP5O",8130605.04435296
"TMBIM6",7990227.76372297
"HLA.A",7967166.35717149
"GNAS",7955214.91931546
"GC",7896281.01206245
"SARS",7896178.71246961
"TIMP1",7889070.66950263
"RPL29",7836247.55007692
"SCD",7788018.63584261
"TMA7",7780603.05331334
"RHOA",7770828.42607599
"OSTC",7701183.13406453
"SELK",7674392.91871089
"OST4",7655869.24858132
"TSPAN7",7639028.88286999
"ITM2B",7613974.88014363
"SHFM1",7525719.87938832
"FAM159B",7446974.99667333
"RPS15",7421558.92574526
"PARK7",7402875.74237934
"SPCS1",7393566.26035072
"TRA2A",7369423.40450087
"CHP1",7328769.11147506
"TLK1",7269107.96531308
"ATP6AP2",7257526.01134235
"DSTN",7245608.61348276
"PSMA3",7227167.73514125
"PEMT",7210771.22283706
