"","Gene","effect.size","p.value","q.value"
"GNLY","GNLY",21.5923981759893,0,0
"NKG7","NKG7",12.8392485443559,0,0
"LYZ","LYZ",9.79883867650968,1.09795100046048e-95,5.98211740407139e-93
"S100A8","S100A8",9.58953295679183,4.56579650436042e-66,2.04114518085959e-63
"HLA.DRA","HLA.DRA",8.78176034911586,0,0
"S100A9","S100A9",8.42907210585373,2.12234573234044e-73,1.05723136695301e-70
"CST3","CST3",7.70855578496867,1.4181936912196e-89,7.49279000194357e-87
"IGLL5","IGLL5",7.00040871455038,1.25266655281126e-115,7.53111770629805e-113
"DDX26B.AS1","DDX26B.AS1",6.10730021703451,0.42895922336185,0.572954863648881
"PPP1R3G","PPP1R3G",6.04728628426597,0.429342834724212,0.572954863648881
"CD74","CD74",5.18404860589631,0,0
"CCL5","CCL5",5.12901954614862,0,0
"PTGDS","PTGDS",5.00299921039319,3.74699803221402e-88,1.92143854975445e-85
"EXOC3L1","EXOC3L1",4.79176866251043,0.22589554167253,0.449496549767241
"HLA.DRB1","HLA.DRB1",4.70209306476322,0,0
"AL928768.3","AL928768.3",4.35879347347861,1.20312570836025e-35,4.11303857358058e-33
"TYROBP","TYROBP",4.28401235655517,0,0
"FCN1","FCN1",4.23792032521872,2.90333855401811e-31,9.37401994246404e-29
"GZMB","GZMB",4.14528333621062,0,0
"HLA.DPB1","HLA.DPB1",3.86133352117751,0,0
"CD79A","CD79A",3.58995393202554,0,0
"HLA.DPA1","HLA.DPA1",3.51678602438388,0,0
"C1QA","C1QA",3.2742656410542,0.0642506663688697,0.22288373985416
"RP11.122K13.12","RP11.122K13.12",3.25479952034832,0.246609712633362,0.470832275488685
"AC104667.3","AC104667.3",3.19152082726666,0.454295546554178,0.572954863648881
"IL1RN","IL1RN",3.12177834842524,0.259824900735835,0.482793045329776
"AC011043.1","AC011043.1",3.07777774290285,0.145899649385247,0.357752061258892
"RP11.218F10.3","RP11.218F10.3",3.06707864901206,0.455855385415872,0.572954863648881
"GZMA","GZMA",3.04448516373558,0,0
"CCR3","CCR3",3.03519819743494,0.246927686253358,0.470845318259752
"CD14","CD14",3.00228865215773,9.41604485054934e-14,1.80405210955305e-11
"FCER1G","FCER1G",2.92513429036323,0,0
"PTCRA","PTCRA",2.92310848610789,0.457741884308912,0.572954863648881
"DNTT","DNTT",2.91704409005886,0.100710569508262,0.289035190020831
"AKAP6","AKAP6",2.90726207193515,0.234725264969245,0.459101973832037
"NKD2","NKD2",2.90605701993892,0.457971510777908,0.572954863648881
"RP11.737O24.1","RP11.737O24.1",2.89880999495154,0.458069516633501,0.572954863648881
"SLITRK4","SLITRK4",2.8678194275713,0.458491432508269,0.572954863648881
"AL391421.1","AL391421.1",2.85607569527167,0.458652520294833,0.572954863648881
"HLA.DRB5","HLA.DRB5",2.7753022422884,0,0
"RP11.686D22.4","RP11.686D22.4",2.72442845619274,0.46050553680125,0.572954863648881
