"","Gene","effect.size","p.value","q.value"
"INS","INS",704.723470804774,0,0
"PPY","PPY",660.278274962567,0,0
"SST","SST",298.434353836793,0,0
"MTRNR2L8","MTRNR2L8",210.230512063305,0,0
"REG1A","REG1A",194.459890597083,0,0
"REG3A","REG3A",148.792214568084,0,0
"REG1B","REG1B",148.791110568607,0,0
"CLPS","CLPS",140.185203113705,2.93416331229584e-120,1.45841434446661e-118
"PRSS1","PRSS1",119.046069784593,0,0
"GHRL","GHRL",115.148870015822,1.65147313254749e-23,2.18068169359636e-22
"IAPP","IAPP",114.628609955527,0,0
"TPSB2","TPSB2",102.197293026207,6.42979072536598e-18,7.0828103119482e-17
"CTRB2","CTRB2",92.7621095281746,0,0
"COL1A1","COL1A1",90.1460718167841,0,0
"SPP1","SPP1",88.0319900303223,0,0
"PNLIP","PNLIP",84.1427771131218,0,0
"TPSAB1","TPSAB1",81.206396507219,1.34375609808222e-20,1.62571441919037e-19
"SPARC","SPARC",75.2847675146252,0,0
"OLFM4","OLFM4",73.9117763843923,0,0
"COL3A1","COL3A1",72.5930000170583,1.41631335382429e-269,1.77921939880077e-267
"SELE","SELE",68.6940271740249,0.000251537684287186,0.00131175793787639
"SDS","SDS",67.303180897195,1.84122466769528e-13,1.74882970638007e-12
"COL1A2","COL1A2",65.6131277057989,0,0
"KRT1","KRT1",61.6359050083103,0.000139465538537194,0.000748372569429686
"MMP3","MMP3",61.4233192373114,0.00454137798091071,0.0201240428963236
"SERPINB2","SERPINB2",56.2432423962825,2.57573014896293e-30,3.98326025818964e-29
"PLVAP","PLVAP",55.595208002352,1.23678663796276e-27,1.79461263661986e-26
"C1QA","C1QA",54.5682566186198,1.55792252771593e-24,2.10877174028324e-23
"CRP","CRP",54.4710032554061,1.80702467039603e-283,2.54943380613335e-281
"SERPINA3","SERPINA3",53.231821886812,0,0
"RBP4","RBP4",53.1208168445146,0,0
"KDR","KDR",53.0606028294084,9.74439091826253e-50,2.23402342289816e-48
"C1QB","C1QB",52.6498332756658,2.65216458148241e-31,4.18257528709964e-30
"NPY","NPY",50.9431668111344,5.94202397341867e-82,2.06798219537897e-80
"MTRNR2L1","MTRNR2L1",50.1777942733623,0,0
"CPA1","CPA1",50.175591695632,0,0
"CEL","CEL",48.9608644948485,1.1154240961278e-90,4.32515715583087e-89
"CELA3A","CELA3A",47.6775008262673,1.7191087131473e-259,2.03420470373126e-257
"CPB1","CPB1",47.3397699253978,4.34109587236457e-275,5.76956807210425e-273
"SNAR.G1","SNAR.G1",46.2530064085199,0.0996846930014704,0.343088188091569
"GCG","GCG",46.1042428520742,1.61382036521512e-94,6.51962099524459e-93
"LCN2","LCN2",45.7888646823534,0,0
"CPA3","CPA3",45.3540097008996,2.76079548583037e-18,3.07629100884659e-17
"SPINK1","SPINK1",44.1473803355154,0,0
"COL6A3","COL6A3",43.6228450628908,2.06336152743919e-276,2.78265542461487e-274
"CCL20","CCL20",42.7208664149963,8.34904679081817e-37,1.48525574384477e-35
"CTRB1","CTRB1",41.3827136247646,0,0
"SFRP2","SFRP2",40.7052911659059,7.87936743353683e-138,4.51610869057809e-136
"TYROBP","TYROBP",40.1425079374278,2.30399958234133e-36,4.05154902586025e-35
"PRSS3P2","PRSS3P2",39.4513058294294,0,0
"MMP1","MMP1",39.0949227712217,3.48417169625736e-19,4.02413054666601e-18
"CPA2","CPA2",37.302342581817,0,0
"SERPINB4","SERPINB4",37.0597553712848,0.0125010411651067,0.0516399991011761
"MMP7","MMP7",36.928153761203,0,0
"ALB","ALB",34.4560555499495,7.36061757955081e-192,6.08113004624061e-190
"SERPINE1","SERPINE1",33.8343024596168,1.52885679072148e-117,7.43786801024476e-116
"FLT1","FLT1",33.4455622175746,5.52448192484873e-47,1.21492233793346e-45
"CFTR","CFTR",32.662448872201,0,0
"C1QC","C1QC",32.6180992545116,4.40744214830732e-19,5.07132349072174e-18
"SIGLEC6","SIGLEC6",32.0266597554806,6.10913257480372e-11,5.10234975202528e-10
"CCL22","CCL22",31.9609723869523,0.182288854041605,0.583076364139705
"CD93","CD93",31.8846905502322,1.65184356566087e-36,2.91592520094187e-35
