"","Gene","effect.size","p.value","q.value"
"CLPS","CLPS",232.263386131093,2.59932091025165e-114,2.9838366146015e-112
"PPY","PPY",207.095789101198,0,0
"SST","SST",202.292605237549,0,0
"REG1A","REG1A",137.526482823133,0,0
"PRSS1","PRSS1",136.817243919179,0,0
"REG1B","REG1B",110.992283012645,0,0
"INS","INS",101.872957121162,0,0
"REG3A","REG3A",96.9737686524319,3.05694730153586e-304,1.69466720040509e-301
"TPSD1","TPSD1",92.5604207614517,3.06246008366392e-12,5.02212519780644e-11
"TPSB2","TPSB2",89.8244919708729,9.37596918479168e-15,1.7382251517221e-13
"PNLIP","PNLIP",76.6695736944871,3.02411099219387e-283,1.49423953786031e-280
"TPSAB1","TPSAB1",75.976750917214,2.85486064173457e-15,5.402841592505e-14
"KRT1","KRT1",68.7269174102583,0.00791930755228918,0.0461888481796204
"SPP1","SPP1",66.7033205822106,0,0
"MMP3","MMP3",62.8065066803264,0.00525570597035297,0.0320002520761191
"CTRB2","CTRB2",62.2221771716748,0,0
"CCL22","CCL22",54.4691406176028,0.161304667768857,0.625055606621863
"COL1A2","COL1A2",53.945267002961,1.52047551648499e-124,1.94151056259479e-122
"GHRL","GHRL",51.9557032600425,1.08763177404975e-11,1.72510694992161e-10
"PLVAP","PLVAP",51.8280937087978,1.26956393802828e-21,3.16749931366024e-20
"COL3A1","COL3A1",49.6808675523225,1.32102021146735e-109,1.44353213396353e-107
"CRP","CRP",48.4229857248566,2.56363302855658e-168,5.11129957070724e-166
"SNAR.G1","SNAR.G1",47.793869734344,0.0978305777490131,0.414308030865906
"CELA3A","CELA3A",44.9150006708416,3.34679330133057e-166,6.50164657657629e-164
"CTRB1","CTRB1",43.3667987079569,2.3183230330112e-258,9.40949361023422e-256
"SPARC","SPARC",43.1272815583803,2.58831620336883e-132,3.50177613014107e-130
"DLK1","DLK1",42.2841002255017,3.17219473239471e-197,8.19327432643175e-195
"IAPP","IAPP",42.2449709857465,0,0
"BGN","BGN",41.9381807650775,5.92418826561698e-86,4.98706944774846e-84
"CPA2","CPA2",41.7143773835513,9.76226803537492e-273,4.43773180352073e-270
