"","Gene","effect.size","p.value","q.value"
"PPY","PPY",23418.7054783623,0,0
"INS","INS",7377.97106385432,0,0
"SST","SST",4614.03865038802,0,0
"IAPP","IAPP",1253.84251832209,0,0
"GCG","GCG",949.301470544392,5.42133842485858e-56,1.05242907318179e-53
"NPY","NPY",457.710616929897,4.96536006633914e-203,1.19111894619953e-199
"MSMB","MSMB",282.977971456955,0.020602632525819,0.178191813223565
"RBP4","RBP4",231.945063808364,4.22810111143473e-147,6.45438853301926e-144
"TPSB2","TPSB2",184.169248129471,1.54941698616803e-06,2.57729668466901e-05
"SPINK1","SPINK1",119.557559202829,7.63766115441021e-14,2.29225390714667e-12
"GAST","GAST",107.97172445255,0.0630479422592644,0.468141077345818
"SPP1","SPP1",90.9650237975769,4.08532864899961e-62,1.04734104845804e-59
"LOC101927536","LOC101927536",89.2495490104962,0.000962018514649291,0.0109002799581585
"TPSAB1","TPSAB1",87.2892320226481,2.47933777633778e-05,0.000357058661580308
"SNAR.B2","SNAR.B2",85.2250916905915,1.00340148985931e-74,3.74424840393725e-72
"SIGLEC6","SIGLEC6",79.3390815344036,0.00783289619297129,0.0750099759751205
"TYROBP","TYROBP",78.2294036803795,0.000863009338268298,0.00986162150949388
"SNAR.B1","SNAR.B1",75.3279868860513,4.21849324420391e-73,1.43104926377115e-70
"RGS1","RGS1",72.5613392566553,2.35355140330921e-22,1.12594971978257e-20
"DLK1","DLK1",72.2276770339294,2.6618856669146e-276,9.93297424862888e-273
"ATP5G1P4","ATP5G1P4",70.6232605668337,0.0550985508471039,0.416482046286099
"CPA3","CPA3",69.8529269838436,7.0545689282012e-09,1.47155678810378e-07
"OR1F12","OR1F12",69.6329968610939,0.00968658591627124,0.0905915626321508
"CD69","CD69",65.7483259140001,9.28562092794908e-05,0.0012389681892898
"CYCSP28","CYCSP28",63.3343996358484,0.00117878105044923,0.0131697214897828
"HLA.DRA","HLA.DRA",61.9271981665751,0.114425363410659,0.771349137852983
"HSPA6","HSPA6",61.0293882839519,0.0198797401459652,0.172650942090017
"CGA","CGA",59.1977057733565,0.0101138682509038,0.0940897926145023
"MT2A","MT2A",56.8634382977186,5.99595596421729e-35,5.08505517935034e-33
"LOC101928282","LOC101928282",56.4438222715837,0.00977001808007325,0.0912194293025243
"FCER1G","FCER1G",54.9992581958089,2.17877247796326e-05,0.000316487434688227
"LOC100422687","LOC100422687",50.3498837402246,1.3878740673203e-06,2.32586640104217e-05
"UBE2V1P5","UBE2V1P5",50.2845819198075,0.147605281263361,0.947472432329651
"OR7E7P","OR7E7P",47.0974641584487,0.105172016769861,0.718490034824861
"TM4SF4","TM4SF4",46.4055731877091,0,0
"C6orf58","C6orf58",40.2077947692193,8.23245342295267e-09,1.70876832976788e-07
"LOC390806","LOC390806",40.0663965709935,5.02016031228774e-07,8.79483901553841e-06
"SRGN","SRGN",39.7510208717536,2.0279363545962e-07,3.68340803314001e-06
"MT1X","MT1X",38.7350172591051,1.71218623601999e-165,3.59387890940596e-162
"PENK","PENK",37.6376455851785,2.37331833113677e-05,0.000342377675399044
"RPS15AP37","RPS15AP37",37.2308534551402,0.134759730204722,0.880157677789844
"PKMP3","PKMP3",37.1048769291135,8.84696270201909e-06,0.000135483992423442
"RPS15AP15","RPS15AP15",36.9867932386882,0.0792748570051216,0.566067075114454
"MT1G","MT1G",36.1749275106144,0.0065447185832688,0.0635805116865778
"DEFB4A","DEFB4A",35.7943690149943,0.00255305253418715,0.0270222868919449
"ADAMDEC1","ADAMDEC1",35.0476159188476,0.13124190078306,0.86175815059001
"SCGB2B3P","SCGB2B3P",34.3477120798227,0.135209405475089,0.882625191810421
"CST2","CST2",33.2922531646496,1.41824768283089e-05,0.000211973432043581
"LYZ","LYZ",33.1186762476766,0.140919195138704,0.912050539514014
"VN1R52P","VN1R52P",32.452356163198,0.0603101434171781,0.450301435420745
"CCL3","CCL3",32.2490006376813,0.00573322302465319,0.056514400369813
"RGS10","RGS10",31.5271185584438,0.000479480330168552,0.00572241201434992
"HADH","HADH",30.5058562303744,0,0
