"","Gene","effect.size","p.value","q.value"
"PPY__chr17","PPY__chr17",564.366143690274,0,0
"GHRL__chr3","GHRL__chr3",559.032447890378,2.6529791977861e-12,4.52082965552406e-11
"REG1B__chr2","REG1B__chr2",179.429707069087,0,0
"REG1A__chr2","REG1A__chr2",177.377077450859,0,0
"SELE__chr1","SELE__chr1",163.262097883065,3.45493983428428e-05,0.000356199961747432
"KDR__chr4","KDR__chr4",148.376736922146,8.77609054299013e-59,5.01059090880446e-57
"REG3A__chr2","REG3A__chr2",146.973684867877,0,0
"SPP1__chr4","SPP1__chr4",143.26967560651,0,0
"INS__chr11","INS__chr11",139.535849922021,0,0
"SDS__chr12","SDS__chr12",124.242062088202,3.49860029099566e-13,6.26697140277119e-12
"SPARC__chr5","SPARC__chr5",121.037865130523,0,0
"CTRB2__chr16","CTRB2__chr16",118.664678155967,0,0
"COL3A1__chr2","COL3A1__chr2",108.902497713003,3.89058657366468e-224,9.67425066698884e-222
"PRSS1__chr7","PRSS1__chr7",108.645789127363,0,0
"COL1A1__chr17","COL1A1__chr17",108.196258417902,6.75120535177372e-296,3.03772092232904e-293
"PNLIP__chr10","PNLIP__chr10",107.179524937635,0,0
"SERPINB2__chr18","SERPINB2__chr18",104.930754849248,1.06172097247311e-22,2.77132637262388e-21
"OLFM4__chr13","OLFM4__chr13",104.697259898875,0,0
"CPA3__chr3","CPA3__chr3",89.5430398027346,1.49534627750123e-07,1.90939553731204e-06
"SPINK1__chr5","SPINK1__chr5",87.5357161857828,0,0
"TPSAB1__chr16","TPSAB1__chr16",87.1338424278433,0.000261362287359723,0.00243311552045519
"COL1A2__chr7","COL1A2__chr7",86.1932754782602,1.752559541849e-253,5.6135373257394e-251
"C1QB__chr1","C1QB__chr1",85.9676789717109,2.15069357527987e-27,6.54489648722044e-26
"FN1__chr2","FN1__chr2",84.5782455736773,3.05955509160505e-193,6.08626022327919e-191
"C1QA__chr1","C1QA__chr1",84.2939261139547,8.47946475711943e-20,2.01060131719e-18
"COL6A3__chr2","COL6A3__chr2",80.5584912821238,4.50942339760216e-262,1.5494378794161e-259
"CCL20__chr2","CCL20__chr2",75.5009265179281,9.78970244116487e-22,2.46018346719593e-20
"CRP__chr1","CRP__chr1",73.9701604417559,1.05265549714121e-119,1.21299290152284e-117
"KRT1__chr12","KRT1__chr12",73.1180032680224,0.00157054780712163,0.0131677961219984
"CEL__chr9","CEL__chr9",72.6524476406212,9.09264092101025e-93,8.10531736439866e-91
"SERPINA3__chr14","SERPINA3__chr14",71.336025791404,0,0
"CD93__chr20","CD93__chr20",70.9700704240195,1.55229728616303e-39,6.17585560292819e-38
"PRSS3P2__chr7","PRSS3P2__chr7",70.9088566211217,4.38590772464669e-256,1.48008721750666e-253
