"","x"
"GCG__chr2",64991708.1532296
"SST__chr3",40685224.252209
"TTR__chr18",29195000.0633502
"REG1A__chr2",24100688.8240037
"REG3A__chr2",15419989.0803014
"PPY__chr17",15193212.550512
"REG1B__chr2",12052337.8357892
"GNAS__chr20",9755882.98513626
"MALAT1__chr11",9341567.31559344
"COL1A1__chr17",6714603.46955176
"MTRNR2L8__chr11",6335035.91628328
"IAPP__chr12",6119574.70199318
"CTRB2__chr16",5851863.09948097
"OLFM4__chr13",4811574.781609
"SPINK1__chr5",4790391.20425602
"PRSS1__chr7",4605192.87367087
"INS__chr11",3795157.15466698
"CPB1__chr3",3644895.74570424
"FTH1__chr11",3525102.64796612
"RBP4__chr10",3502899.75150699
"PNLIP__chr10",3274548.44093464
"CPA1__chr7",2806834.33983469
"CHGB__chr20",2562845.72025304
"SERPINA3__chr14",2465168.68696307
"MTRNR2L1__chr17",2398357.8981818
"CEL__chr9",2192524.19956407
"CHGA__chr14",2145833.32736317
"FTL__chr19",2116001.70907466
"SPARC__chr5",1979915.93966019
"COL1A2__chr7",1979104.10336749
"MTRNR2L2__chr5",1938741.97305059
"COL3A1__chr2",1861136.08329303
"SPP1__chr4",1850060.50504327
"CELA3A__chr1",1748807.04031273
"CD24__chrY",1553115.65442853
"PRSS3P2__chr7",1525783.3122265
"B2M__chr15",1435479.32446059
"TIMP1__chrX",1434468.10473972
"EEF1A1__chr6",1372895.0347855
"PLA2G1B__chr12",1339944.81780086
"VGF__chr7",1284170.98736662
"SCG2__chr2",1198131.0734926
"ALB__chr4",1161078.8246902
"FN1__chr2",1103638.37565736
"CTRB1__chr16",1097888.28460672
"CPE__chr4",1076493.65903374
"TMSB4X__chrX",1023405.38396878
"LYZ__chr12",960128.184712932
"ANXA2__chr15",959535.615811474
"ALDH1A1__chr9",939862.719320292
"IGFBP7__chr4",930006.302288555
"ACTG1__chr17",856900.532525741
"SAT1__chrX",801387.603407529
"ALDOB__chr9",763249.584851805
"DUOX2__chr15",746590.235889153
"CPA2__chr7",742400.752450258
"GDF15__chr19",725499.44650155
"ANXA4__chr2",720360.584220249
"CLPS__chr6",712488.453396212
"PCSK2__chr20",709729.180883974
"PEG10__chr7",694598.165888163
"ACTB__chr7",670864.851778626
"SERPINB2__chr18",655920.662733636
"MMP7__chr11",653740.243892347
"SERPINE1__chr7",640124.221518794
"CD44__chr11",638639.708062548
"HLA.B__chr6",635503.957074039
"CFB__chr6",628326.915787898
"TM4SF4__chr3",613194.777938235
"COL6A3__chr2",549250.270430617
"AMY2A__chr1",547514.78391783
"GP2__chr16",547231.888470913
"SCG5__chr15",546337.108775106
"TPT1__chr13",542075.883423761
"PCSK1__chr5",539389.92440303
"GSTA1__chr6",530534.772882708
"COL6A1__chr21",514184.549807157
