"","Gene","effect.size","p.value","q.value"
"REG1B__chr2","RAPGEF6__chr5",464.728591512263,0,0
"REG1A__chr2","RAPGEF5__chr7",338.399689872575,0,0
"PPY__chr17","POTEM__chr14",330.61655087287,0,0
"REG3A__chr2","RAPH1__chr2",318.841268356165,0,0
"PRSS1__chr7","PRDM14__chr8",307.778666804601,0,0
"PNLIP__chr10","PLA2G12A__chr4",273.864286339129,0,0
"CTRB2__chr16","CS__chr12",264.834076091821,0,0
"GHRL__chr3","GDAP1__chr8",232.246100338783,1.64226936296081e-07,2.16426823021153e-06
"SPINK1__chr5","SNRNP25__chr16",213.628329414815,0,0
"OLFM4__chr13","NTNG1__chr1",204.556111198618,0,0
"PRSS3P2__chr7","PRDM9__chr5",191.519417269748,1.21697689471321e-286,6.76424392832064e-284
"CELA3A__chr1","CDR2__chr16",188.771594910577,5.05588181051233e-122,7.02544518051927e-120
"CEL__chr9","CEACAM1__chr19",183.985274060141,1.12689509309705e-90,1.04392467987e-88
"CPA1__chr7","COQ3__chr6",174.130323409763,1.66485361612469e-227,6.55466742448425e-225
"ALB__chr4","AKT1S1__chr19",169.836404863957,1.2002309767182e-160,2.52021833311339e-158
"SPARC__chr5","SNORA41__chr2",168.251203238674,0,0
"COL1A1__chr17","CNTN4__chr3",167.042380065058,5.49677402111329e-277,2.80751447164862e-274
"COL3A1__chr2","CNTRL__chr9",164.217438958016,5.71064649753519e-181,1.541711393006e-178
"SPP1__chr4","SNTG1__chr8",152.775832670024,0,0
"CPB1__chr3","CORIN__chr4",141.999878853365,5.96683532868425e-190,1.70850384911326e-187
"COL1A2__chr7","CNTN5__chr11",135.527513016283,5.13173433531196e-246,2.3090360825887e-243
"SERPINB2__chr18","SCN7A__chr2",135.328430550379,5.66623150534986e-21,1.4509545120339e-19
"CTRB1__chr16","CSTL1__chr20",135.162626443325,7.3482026818378e-148,1.32253651696543e-145
"FN1__chr2","FLJ40292__chr9",131.862239620151,7.76184853467901e-193,2.25666790166714e-190
"INS__chr11","IL32__chr16",127.711115263681,0,0
"PLA2G1B__chr12","PHLDA1__chr12",126.338186585328,0,0
"COL6A3__chr2","COG3__chr13",124.106280474016,2.34587766935203e-275,1.16664200514249e-272
"CPA2__chr7","COQ4__chr9",123.294963097549,1.83795621983666e-302,1.12044182717655e-299
"SERPINA3__chr14","SCN2B__chr11",121.087371109888,0,0
"CLPS__chr6","CLEC4GP1__chr19",112.522069168249,8.01626493661189e-72,5.82659133738813e-70
"AMY2A__chr1","AMOTL1__chr11",111.910564362,7.22599463898255e-27,2.2585802503622e-25
"ALDOB__chr9","ALDH3B2__chr11",101.780603512228,1.2355278734576e-147,2.20273639175489e-145
"SERPINE1__chr7","SCP2__chr1",100.859459547267,7.77042558777604e-100,8.34349447487452e-98
"PNLIPRP2__chr10","PLA1A__chr3",97.4106315279329,6.98581943295706e-218,2.40032755716405e-215
"CCL20__chr2","CCDC83__chr11",91.5441706619983,4.04581388410587e-21,1.04450533854963e-19
"CRP__chr1","CREB1__chr2",84.4919390325776,3.14703525005128e-94,3.06560165749841e-92
"SFRP2__chr4","SEC14L6__chr22",80.1325912818734,1.15338385642515e-118,1.53497521962834e-116
"GSTA2__chr6","GRB10__chr7",76.4548858220042,0,0
"GSTA1__chr6","GRASP__chr12",76.0294372817465,0,0
"COL4A1__chr13","CNTROB__chr17",74.8215503758103,8.02486627915185e-242,3.2968244118133e-239
"CFB__chr6","CEP41__chr7",74.4347700722528,0,0
"TIMP3__chr22","TDO2__chr4",67.3127608459089,1.41335576743921e-25,4.19302940236518e-24
"KDR__chr4","KCNJ6__chr21",65.5162003826036,1.31352571107554e-30,4.52974614742802e-29
"MMP7__chr11","MICALL1__chr22",64.8020033898484,4.74981195513111e-43,2.14741498392506e-41
"CELA2A__chr1","CDPF1__chr22",62.6968714769226,5.39403103420688e-157,1.08442977111108e-154
"COL15A1__chr9","CNTD2__chr19",62.5955334495409,3.51891116651557e-152,6.58419635889219e-150
"PDGFRB__chr5","PCDH18__chr4",62.5106658326797,1.65659392653e-171,4.06575480825505e-169
"DUOX2__chr15","DRAXIN__chr1",61.2147081312622,7.12758198251499e-303,4.48990147685227e-300
"CFTR__chr7","CEP97__chr3",60.5056043396001,0,0
"FGG__chr4","FDXR__chr17",60.3974998282862,1.01932956513009e-09,1.53370144282074e-08
"GDF15__chr19","GAS6__chr13",59.9998622943972,4.82921361610317e-284,2.60749939763194e-281
"RBP4__chr10","RAD54L2__chr3",59.5840656551994,2.36847113902254e-296,1.398730237039e-293
"IAPP__chr12","HSD52__chr1",58.5772537392331,4.2875849851564e-208,1.37333527202518e-205
